医疗保健,1,983103
生物医药,2,399441
疫苗,3,980015
证券公司,4,399420
机器人,5,980022
半导体,6,983067
化工,7,CN5090
有色金属,8,CN6051
新能源,10,399412
通信,11,399389
农业,12,399669
环保,13,
金融,14,399240
军工,15,399368
银行,16,399431
电力,17,
传媒,18,399434
互联网,19,983047
食品饮料,20,399396
汽车,21,CN6055
煤炭,22,399436
建筑材料,23,980048
光伏,24,970035
电子,25,980030
房地产,26,399241
物联网,27,
智能汽车,28,399432
中药,29,CN5079
新材料,30,
畜牧养殖,31,
装备产业,32,
运输,33,399433
钢铁,34,399440
高铁,36,
低碳经济,37,399258
基建工程,38,399359
能源化工,39,399613
绿色电力,40,399438
饲料豆粕,41,
工业互联网,42,
车联网,43,
云计算,44,
数字经济,45,399262
财富管理,46,CN5074
高端制造,47,970037
保险,48,399420
芯片,49,980017
金融科技,50,399699
软件服务,51,983047
房地产,52,
石油天然气,53,399439
计算机,54,399239
装备制造,55,970037
清洁能源,56,399438
生物科技,57,983101
宏观市场,58,
